year,round,race_name,circuit_id,date,driver_id,constructor_id,quali_position,q1_time,q2_time,q3_time
2018,9,Austrian Grand Prix,red_bull_ring,2018-07-01,grosjean,haas,6,1:04.242,1:04.059,1:03.892
2018,9,Austrian Grand Prix,red_bull_ring,2018-07-01,ricciardo,red_bull,7,1:04.723,1:04.403,1:03.996
2018,9,Austrian Grand Prix,red_bull_ring,2018-07-01,kevin_magnussen,haas,8,1:04.460,1:04.291,1:04.051
2018,9,Austrian Grand Prix,red_bull_ring,2018-07-01,sainz,renault,9,1:04.948,1:04.561,1:04.725
2018,9,Austrian Grand Prix,red_bull_ring,2018-07-01,hulkenberg,renault,10,1:04.864,1:04.676,1:05.019
2018,9,Austrian Grand Prix,red_bull_ring,2018-07-01,ocon,force_india,11,1:05.148,1:04.845,
2018,9,Austrian Grand Prix,red_bull_ring,2018-07-01,gasly,toro_rosso,12,1:05.011,1:04.874,
2018,9,Austrian Grand Prix,red_bull_ring,2018-07-01,leclerc,sauber,13,1:04.967,1:04.979,
2018,9,Austrian Grand Prix,red_bull_ring,2018-07-01,alonso,mclaren,14,1:04.965,1:05.058,
2018,9,Austrian Grand Prix,red_bull_ring,2018-07-01,stroll,williams,15,1:05.264,1:05.286,
2018,9,Austrian Grand Prix,red_bull_ring,2018-07-01,vandoorne,mclaren,16,1:05.271,,
2018,9,Austrian Grand Prix,red_bull_ring,2018-07-01,perez,force_india,17,1:05.279,,
2018,9,Austrian Grand Prix,red_bull_ring,2018-07-01,sirotkin,williams,18,1:05.322,,
2018,9,Austrian Grand Prix,red_bull_ring,2018-07-01,brendon_hartley,toro_rosso,19,1:05.366,,
2018,9,Austrian Grand Prix,red_bull_ring,2018-07-01,ericsson,sauber,20,1:05.479,,
2018,10,British Grand Prix,silverstone,2018-07-08,hamilton,mercedes,1,1:26.818,1:26.256,1:25.892
2018,10,British Grand Prix,silverstone,2018-07-08,vettel,ferrari,2,1:26.585,1:26.372,1:25.936
2018,10,British Grand Prix,silverstone,2018-07-08,raikkonen,ferrari,3,1:27.549,1:26.483,1:25.990
2018,10,British Grand Prix,silverstone,2018-07-08,bottas,mercedes,4,1:27.025,1:26.413,1:26.217
2018,10,British Grand Prix,silverstone,2018-07-08,max_verstappen,red_bull,5,1:27.309,1:27.013,1:26.602
2018,10,British Grand Prix,silverstone,2018-07-08,ricciardo,red_bull,6,1:27.979,1:27.369,1:27.099
2018,10,British Grand Prix,silverstone,2018-07-08,kevin_magnussen,haas,7,1:28.143,1:27.730,1:27.244
2018,10,British Grand Prix,silverstone,2018-07-08,grosjean,haas,8,1:28.086,1:27.522,1:27.455
2018,10,British Grand Prix,silverstone,2018-07-08,leclerc,sauber,9,1:27.962,1:27.790,1:27.879
2018,10,British Grand Prix,silverstone,2018-07-08,ocon,force_india,10,1:28.279,1:27.843,1:28.194
2018,10,British Grand Prix,silverstone,2018-07-08,hulkenberg,renault,11,1:28.017,1:27.901,
2018,10,British Grand Prix,silverstone,2018-07-08,perez,force_india,12,1:28.210,1:27.928,
2018,10,British Grand Prix,silverstone,2018-07-08,alonso,mclaren,13,1:28.187,1:28.139,
2018,10,British Grand Prix,silverstone,2018-07-08,gasly,toro_rosso,14,1:28.399,1:28.343,
2018,10,British Grand Prix,silverstone,2018-07-08,ericsson,sauber,15,1:28.249,1:28.391,
2018,10,British Grand Prix,silverstone,2018-07-08,sainz,renault,16,1:28.456,,
2018,10,British Grand Prix,silverstone,2018-07-08,vandoorne,mclaren,17,1:29.096,,
2018,10,British Grand Prix,silverstone,2018-07-08,sirotkin,williams,18,1:29.252,,
2018,10,British Grand Prix,silverstone,2018-07-08,stroll,williams,19,,,
2018,10,British Grand Prix,silverstone,2018-07-08,brendon_hartley,toro_rosso,20,,,
2018,11,German Grand Prix,hockenheimring,2018-07-22,vettel,ferrari,1,1:12.538,1:12.505,1:11.212
2018,11,German Grand Prix,hockenheimring,2018-07-22,bottas,mercedes,2,1:12.962,1:12.152,1:11.416
2018,11,German Grand Prix,hockenheimring,2018-07-22,raikkonen,ferrari,3,1:12.505,1:12.336,1:11.547
2018,11,German Grand Prix,hockenheimring,2018-07-22,max_verstappen,red_bull,4,1:13.127,1:12.188,1:11.822
2018,11,German Grand Prix,hockenheimring,2018-07-22,kevin_magnussen,haas,5,1:13.105,1:12.523,1:12.200
2018,11,German Grand Prix,hockenheimring,2018-07-22,grosjean,haas,6,1:12.986,1:12.722,1:12.544
2018,11,German Grand Prix,hockenheimring,2018-07-22,hulkenberg,renault,7,1:13.479,1:12.946,1:12.560
2018,11,German Grand Prix,hockenheimring,2018-07-22,sainz,renault,8,1:13.324,1:13.032,1:12.692
2018,11,German Grand Prix,hockenheimring,2018-07-22,leclerc,sauber,9,1:13.077,1:12.995,1:12.717
2018,11,German Grand Prix,hockenheimring,2018-07-22,perez,force_india,10,1:13.427,1:13.072,1:12.774
2018,11,German Grand Prix,hockenheimring,2018-07-22,alonso,mclaren,11,1:13.614,1:13.657,
2018,11,German Grand Prix,hockenheimring,2018-07-22,sirotkin,williams,12,1:13.708,1:13.702,
2018,11,German Grand Prix,hockenheimring,2018-07-22,ericsson,sauber,13,1:13.562,1:13.736,
2018,11,German Grand Prix,hockenheimring,2018-07-22,hamilton,mercedes,14,1:13.012,,
2018,11,German Grand Prix,hockenheimring,2018-07-22,ricciardo,red_bull,15,1:13.318,,
2018,11,German Grand Prix,hockenheimring,2018-07-22,ocon,force_india,16,1:13.720,,
2018,11,German Grand Prix,hockenheimring,2018-07-22,gasly,toro_rosso,17,1:13.749,,
2018,11,German Grand Prix,hockenheimring,2018-07-22,brendon_hartley,toro_rosso,18,1:14.045,,
2018,11,German Grand Prix,hockenheimring,2018-07-22,stroll,williams,19,1:14.206,,
2018,11,German Grand Prix,hockenheimring,2018-07-22,vandoorne,mclaren,20,1:14.401,,
2018,12,Hungarian Grand Prix,hungaroring,2018-07-29,hamilton,mercedes,1,1:17.419,1:31.242,1:35.658
2018,12,Hungarian Grand Prix,hungaroring,2018-07-29,bottas,mercedes,2,1:17.123,1:32.081,1:35.918
2018,12,Hungarian Grand Prix,hungaroring,2018-07-29,raikkonen,ferrari,3,1:17.526,1:32.762,1:36.186
2018,12,Hungarian Grand Prix,hungaroring,2018-07-29,vettel,ferrari,4,1:16.666,1:28.636,1:36.210
2018,12,Hungarian Grand Prix,hungaroring,2018-07-29,sainz,renault,5,1:17.829,1:30.771,1:36.743
2018,12,Hungarian Grand Prix,hungaroring,2018-07-29,gasly,toro_rosso,6,1:18.577,1:31.286,1:37.591
2018,12,Hungarian Grand Prix,hungaroring,2018-07-29,max_verstappen,red_bull,7,1:16.940,1:31.178,1:38.032
2018,12,Hungarian Grand Prix,hungaroring,2018-07-29,brendon_hartley,toro_rosso,8,1:18.429,1:32.590,1:38.128
2018,12,Hungarian Grand Prix,hungaroring,2018-07-29,kevin_magnussen,haas,9,1:18.314,1:32.968,1:39.858
2018,12,Hungarian Grand Prix,hungaroring,2018-07-29,grosjean,haas,10,1:17.901,1:33.650,1:40.593
2018,12,Hungarian Grand Prix,hungaroring,2018-07-29,alonso,mclaren,11,1:18.208,1:35.214,
2018,12,Hungarian Grand Prix,hungaroring,2018-07-29,ricciardo,red_bull,12,1:18.540,1:36.442,
2018,12,Hungarian Grand Prix,hungaroring,2018-07-29,hulkenberg,renault,13,1:17.905,1:36.506,
2018,12,Hungarian Grand Prix,hungaroring,2018-07-29,ericsson,sauber,14,1:18.641,1:37.075,
2018,12,Hungarian Grand Prix,hungaroring,2018-07-29,stroll,williams,15,1:18.560,,
2018,12,Hungarian Grand Prix,hungaroring,2018-07-29,vandoorne,mclaren,16,1:18.782,,
2018,12,Hungarian Grand Prix,hungaroring,2018-07-29,leclerc,sauber,17,1:18.817,,
2018,12,Hungarian Grand Prix,hungaroring,2018-07-29,ocon,force_india,18,1:19.142,,
2018,12,Hungarian Grand Prix,hungaroring,2018-07-29,perez,force_india,19,1:19.200,,
2018,12,Hungarian Grand Prix,hungaroring,2018-07-29,sirotkin,williams,20,1:19.301,,
2018,13,Belgian Grand Prix,spa,2018-08-26,hamilton,mercedes,1,1:42.977,1:41.553,1:58.179
2018,13,Belgian Grand Prix,spa,2018-08-26,vettel,ferrari,2,1:43.035,1:41.501,1:58.905
2018,13,Belgian Grand Prix,spa,2018-08-26,ocon,force_india,3,1:44.003,1:43.302,2:01.851
2018,13,Belgian Grand Prix,spa,2018-08-26,perez,force_india,4,1:44.004,1:43.014,2:01.894
2018,13,Belgian Grand Prix,spa,2018-08-26,grosjean,haas,5,1:43.597,1:43.042,2:02.122
2018,13,Belgian Grand Prix,spa,2018-08-26,raikkonen,ferrari,6,1:42.585,1:41.533,2:02.671
2018,13,Belgian Grand Prix,spa,2018-08-26,max_verstappen,red_bull,7,1:43.199,1:42.554,2:02.769
2018,13,Belgian Grand Prix,spa,2018-08-26,ricciardo,red_bull,8,1:43.604,1:43.126,2:02.939
2018,13,Belgian Grand Prix,spa,2018-08-26,kevin_magnussen,haas,9,1:43.834,1:43.320,2:04.933
2018,13,Belgian Grand Prix,spa,2018-08-26,bottas,mercedes,10,1:42.805,1:42.191,
2018,13,Belgian Grand Prix,spa,2018-08-26,gasly,toro_rosso,11,1:44.221,1:43.844,
2018,13,Belgian Grand Prix,spa,2018-08-26,brendon_hartley,toro_rosso,12,1:44.153,1:43.865,
2018,13,Belgian Grand Prix,spa,2018-08-26,leclerc,sauber,13,1:43.654,1:44.062,
2018,13,Belgian Grand Prix,spa,2018-08-26,ericsson,sauber,14,1:43.846,1:44.301,
2018,13,Belgian Grand Prix,spa,2018-08-26,hulkenberg,renault,15,1:44.145,,
2018,13,Belgian Grand Prix,spa,2018-08-26,sainz,renault,16,1:44.489,,
2018,13,Belgian Grand Prix,spa,2018-08-26,alonso,mclaren,17,1:44.917,,
2018,13,Belgian Grand Prix,spa,2018-08-26,sirotkin,williams,18,1:44.998,,
2018,13,Belgian Grand Prix,spa,2018-08-26,stroll,williams,19,1:45.134,,
